(index) id hole tee
0	"1"	54.39258610906086	89.97094714888817
1	"2"	99.62246213118294	85.73380665143759
2	"3"	78.49949996323471	80.26918429228124
3	"4"	77.34786580863567	79.8384218531437
4	"5"	80.3084195809248	76.8000030517577
5	"6"	92.68383796608884	79.37234197997986
6	"7"	75.03443025726381	84.41597740696898
7	"8"	70.43763685663669	73.19999694824219
8	"9"	85.82650496349902	71.2004314989639
9	"10"	84.77396905371972	74.21978906635638
10	"11"	78.86545612411692	84.1018293388131
11	"12"	79.54168015462085	78.3050317120136
12	"13"	78.03347482641448	80.01849329417598
13	"14"	81.03230689524185	78.7314865444215
14	"15"	77.51142034432883	77.51200899181401
15	"16"	85.63123747974657	76.95199339439114
16	"17"	88.74750818993266	86.63908467584497
17	"18"	76.46803612548536	88.39038893695351
